id,variety,breeder,gender,age,size,condition,photoUrl,certUrl,contestUrl,fatherId,motherId
KOI-STRESS-067,Shusui,Momotaro Koi,Jantan,Tosai,34,Sehat,https://dummy.com/koi67.jpg,,,,
KOI-STRESS-068,Kohaku,Dainichi Fish Farm,Betina,Sansai,56,Sehat,https://dummy.com/koi68.jpg,,,,
KOI-STRESS-069,Goshiki,Sakai Fish Farm,Jantan,Tosai,27,Bagus,https://dummy.com/koi69.jpg,,,,
KOI-STRESS-070,Kujaku,Momotaro Koi,Betina,Nisai,41,Sehat,https://dummy.com/koi70.jpg,,,,
KOI-STRESS-071,Yamabuki Ogon,Izumiya,Jantan,Nisai,42,Sehat,https://dummy.com/koi71.jpg,,,,
KOI-STRESS-072,Kohaku,Dainichi Fish Farm,Betina,Tosai,33,Sangat Baik,https://dummy.com/koi72.jpg,,,,
KOI-STRESS-073,Showa,Sakai Fish Farm,Jantan,Sansai,63,Sehat,https://dummy.com/koi73.jpg,,,,
KOI-STRESS-074,Shiro Utsuri,Omosako Farm,Betina,Tosai,28,Sehat,https://dummy.com/koi74.jpg,,,,
KOI-STRESS-075,Sanke,Momotaro Koi,Jantan,Nisai,44,Sehat,https://dummy.com/koi75.jpg,,,,
KOI-STRESS-076,Kohaku,Dainichi Fish Farm,Betina,Sansai,59,Bagus,https://dummy.com/koi76.jpg,,,,
KOI-STRESS-077,Tancho,Sakai Fish Farm,Jantan,Tosai,35,Sehat,https://dummy.com/koi77.jpg,,,,
KOI-STRESS-078,Asagi,Momotaro Koi,Betina,Nisai,46,Sangat Baik,https://dummy.com/koi78.jpg,,,,
KOI-STRESS-079,Goshiki,Sakai Fish Farm,Jantan,Sansai,51,Sehat,https://dummy.com/koi79.jpg,,,,
KOI-STRESS-080,Kujaku,Dainichi Fish Farm,Betina,Tosai,29,Sehat,https://dummy.com/koi80.jpg,,,,
KOI-STRESS-081,Kohaku,Sakai Fish Farm,Jantan,Tosai,31,Bagus,https://dummy.com/koi81.jpg,,,,
KOI-STRESS-082,Showa,Momotaro Koi,Betina,Nisai,47,Sehat,https://dummy.com/koi82.jpg,,,,
KOI-STRESS-083,Sanke,Dainichi Fish Farm,Jantan,Tosai,34,Sehat,https://dummy.com/koi83.jpg,,,,
KOI-STRESS-084,Shiro Utsuri,Omosako Farm,Betina,Sansai,58,Sangat Baik,https://dummy.com/koi84.jpg,,,,
KOI-STRESS-085,Tancho Sanke,Sakai Fish Farm,Jantan,Tosai,30,Sehat,https://dummy.com/koi85.jpg,,,,
KOI-STRESS-086,Asagi,Momotaro Koi,Betina,Nisai,44,Sehat,https://dummy.com/koi86.jpg,,,,
KOI-STRESS-087,Shusui,Dainichi Fish Farm,Jantan,Tosai,36,Bagus,https://dummy.com/koi87.jpg,,,,
KOI-STRESS-088,Kohaku,Sakai Fish Farm,Betina,Sansai,62,Sehat,https://dummy.com/koi88.jpg,,,,
KOI-STRESS-089,Goshiki,Momotaro Koi,Jantan,Tosai,27,Sehat,https://dummy.com/koi89.jpg,,,,
KOI-STRESS-090,Kujaku,Dainichi Fish Farm,Betina,Nisai,40,Sangat Baik,https://dummy.com/koi90.jpg,,,,
KOI-STRESS-091,Kohaku,Sakai Fish Farm,Jantan,Nisai,47,Sehat,https://dummy.com/koi91.jpg,,,,
KOI-STRESS-092,Showa,Dainichi Fish Farm,Betina,Tosai,34,Sehat,https://dummy.com/koi92.jpg,,,,
KOI-STRESS-093,Sanke,Momotaro Koi,Jantan,Sansai,60,Bagus,https://dummy.com/koi93.jpg,,,,
KOI-STRESS-094,Shiro Utsuri,Omosako Farm,Betina,Nisai,46,Sehat,https://dummy.com/koi94.jpg,,,,
KOI-STRESS-095,Tancho,Sakai Fish Farm,Jantan,Tosai,31,Sangat Baik,https://dummy.com/koi95.jpg,,,,
KOI-STRESS-096,Asagi,Dainichi Fish Farm,Betina,Nisai,48,Sehat,https://dummy.com/koi96.jpg,,,,
KOI-STRESS-097,Shusui,Momotaro Koi,Jantan,Tosai,35,Sehat,https://dummy.com/koi97.jpg,,,,
KOI-STRESS-098,Kohaku,Sakai Fish Farm,Betina,Sansai,64,Bagus,https://dummy.com/koi98.jpg,,,,
KOI-STRESS-099,Goshiki,Dainichi Fish Farm,Jantan,Tosai,29,Sehat,https://dummy.com/koi99.jpg,,,,
KOI-STRESS-100,Kujaku,Momotaro Koi,Betina,Nisai,43,Sangat Baik,https://dummy.com/koi100.jpg,,,,
KOI-STRESS-101,Yamabuki Ogon,Izumiya,Jantan,Tosai,25,Sehat,https://dummy.com/koi101.jpg,,,,
KOI-STRESS-102,Kohaku,Dainichi Fish Farm,Betina,Nisai,44,Sehat,https://dummy.com/koi102.jpg,,,,
KOI-STRESS-103,Showa,Sakai Fish Farm,Jantan,Sansai,61,Bagus,https://dummy.com/koi103.jpg,,,,
KOI-STRESS-104,Shiro Utsuri,Omosako Farm,Betina,Tosai,28,Sehat,https://dummy.com/koi104.jpg,,,,
KOI-STRESS-105,Sanke,Momotaro Koi,Jantan,Nisai,49,Sangat Baik,https://dummy.com/koi105.jpg,,,,
KOI-STRESS-106,Kohaku,Dainichi Fish Farm,Betina,Sansai,57,Sehat,https://dummy.com/koi106.jpg,,,,
KOI-STRESS-107,Tancho,Sakai Fish Farm,Jantan,Tosai,32,Sehat,https://dummy.com/koi107.jpg,,,,
KOI-STRESS-108,Asagi,Momotaro Koi,Betina,Nisai,45,Bagus,https://dummy.com/koi108.jpg,,,,
KOI-STRESS-109,Goshiki,Sakai Fish Farm,Jantan,Sansai,53,Sehat,https://dummy.com/koi109.jpg,,,,
KOI-STRESS-110,Kujaku,Dainichi Fish Farm,Betina,Tosai,26,Sangat Baik,https://dummy.com/koi110.jpg,,,,
KOI-STRESS-111,Kohaku,Momotaro Koi,Jantan,Tosai,30,Sehat,https://dummy.com/koi111.jpg,,,,
KOI-STRESS-112,Showa,Sakai Fish Farm,Betina,Nisai,48,Sehat,https://dummy.com/koi112.jpg,,,,
KOI-STRESS-113,Sanke,Dainichi Fish Farm,Jantan,Tosai,33,Bagus,https://dummy.com/koi113.jpg,,,,
KOI-STRESS-114,Shiro Utsuri,Omosako Farm,Betina,Sansai,59,Sehat,https://dummy.com/koi114.jpg,,,,
KOI-STRESS-115,Tancho,Momotaro Koi,Jantan,Tosai,29,Sangat Baik,https://dummy.com/koi115.jpg,,,,
KOI-STRESS-116,Asagi,Dainichi Fish Farm,Betina,Nisai,44,Sehat,https://dummy.com/koi116.jpg,,,,
KOI-STRESS-117,Shusui,Sakai Fish Farm,Jantan,Tosai,34,Sehat,https://dummy.com/koi117.jpg,,,,
KOI-STRESS-118,Kohaku,Momotaro Koi,Betina,Sansai,63,Bagus,https://dummy.com/koi118.jpg,,,,
KOI-STRESS-119,Goshiki,Dainichi Fish Farm,Jantan,Tosai,27,Sehat,https://dummy.com/koi119.jpg,,,,
KOI-STRESS-120,Kujaku,Sakai Fish Farm,Betina,Nisai,41,Sangat Baik,https://dummy.com/koi120.jpg,,,,
KOI-STRESS-121,Kohaku,Momotaro Koi,Jantan,Nisai,45,Sehat,https://dummy.com/koi121.jpg,,,,
KOI-STRESS-122,Showa,Dainichi Fish Farm,Betina,Tosai,31,Sehat,https://dummy.com/koi122.jpg,,,,
KOI-STRESS-123,Sanke,Sakai Fish Farm,Jantan,Sansai,62,Bagus,https://dummy.com/koi123.jpg,,,,
KOI-STRESS-124,Shiro Utsuri,Omosako Farm,Betina,Nisai,44,Sehat,https://dummy.com/koi124.jpg,,,,
KOI-STRESS-125,Tancho,Momotaro Koi,Jantan,Tosai,30,Sangat Baik,https://dummy.com/koi125.jpg,,,,
KOI-STRESS-126,Asagi,Dainichi Fish Farm,Betina,Nisai,49,Sehat,https://dummy.com/koi126.jpg,,,,
KOI-STRESS-127,Shusui,Sakai Fish Farm,Jantan,Tosai,35,Sehat,https://dummy.com/koi127.jpg,,,,
KOI-STRESS-128,Kohaku,Momotaro Koi,Betina,Sansai,65,Bagus,https://dummy.com/koi128.jpg,,,,
KOI-STRESS-129,Goshiki,Dainichi Fish Farm,Jantan,Tosai,28,Sehat,https://dummy.com/koi129.jpg,,,,
KOI-STRESS-130,Kujaku,Sakai Fish Farm,Betina,Nisai,42,Sangat Baik,https://dummy.com/koi130.jpg,,,,
KOI-STRESS-131,Kohaku,Momotaro Koi,Jantan,Tosai,32,Sehat,https://dummy.com/koi131.jpg,,,,
KOI-STRESS-132,Showa,Dainichi Fish Farm,Betina,Nisai,47,Sehat,https://dummy.com/koi132.jpg,,,,
KOI-STRESS-133,Sanke,Sakai Fish Farm,Jantan,Tosai,31,Bagus,https://dummy.com/koi133.jpg,,,,
KOI-STRESS-134,Shiro Utsuri,Omosako Farm,Betina,Sansai,61,Sehat,https://dummy.com/koi134.jpg,,,,
KOI-STRESS-135,Tancho,Momotaro Koi,Jantan,Tosai,29,Sangat Baik,https://dummy.com/koi135.jpg,,,,
KOI-STRESS-136,Asagi,Dainichi Fish Farm,Betina,Nisai,45,Sehat,https://dummy.com/koi136.jpg,,,,
KOI-STRESS-137,Shusui,Sakai Fish Farm,Jantan,Tosai,33,Sehat,https://dummy.com/koi137.jpg,,,,
KOI-STRESS-138,Kohaku,Momotaro Koi,Betina,Sansai,58,Bagus,https://dummy.com/koi138.jpg,,,,
KOI-STRESS-139,Goshiki,Dainichi Fish Farm,Jantan,Tosai,27,Sehat,https://dummy.com/koi139.jpg,,,,
KOI-STRESS-140,Kujaku,Sakai Fish Farm,Betina,Nisai,40,Sangat Baik,https://dummy.com/koi140.jpg,,,,
KOI-STRESS-141,Kohaku,Momotaro Koi,Jantan,Tosai,34,Sehat,https://dummy.com/koi141.jpg,,,,
KOI-STRESS-142,Showa,Dainichi Fish Farm,Betina,Nisai,48,Sehat,https://dummy.com/koi142.jpg,,,,
KOI-STRESS-143,Sanke,Sakai Fish Farm,Jantan,Tosai,32,Bagus,https://dummy.com/koi143.jpg,,,,
KOI-STRESS-144,Shiro Utsuri,Omosako Farm,Betina,Sansai,59,Sehat,https://dummy.com/koi144.jpg,,,,
KOI-STRESS-145,Tancho,Momotaro Koi,Jantan,Tosai,31,Sangat Baik,https://dummy.com/koi145.jpg,,,,
KOI-STRESS-146,Asagi,Dainichi Fish Farm,Betina,Nisai,44,Sehat,https://dummy.com/koi146.jpg,,,,
KOI-STRESS-147,Shusui,Sakai Fish Farm,Jantan,Tosai,32,Sehat,https://dummy.com/koi147.jpg,,,,
KOI-STRESS-148,Kohaku,Momotaro Koi,Betina,Sansai,64,Bagus,https://dummy.com/koi148.jpg,,,,
KOI-STRESS-149,Goshiki,Dainichi Fish Farm,Jantan,Tosai,28,Sehat,https://dummy.com/koi149.jpg,,,,
KOI-STRESS-150,Kujaku,Sakai Fish Farm,Betina,Nisai,43,Sangat Baik,https://dummy.com/koi150.jpg,,,,
KOI-STRESS-151,Kohaku,Momotaro Koi,Jantan,Tosai,33,Sehat,https://dummy.com/koi151.jpg,,,,
KOI-STRESS-152,Showa,Dainichi Fish Farm,Betina,Nisai,49,Sehat,https://dummy.com/koi152.jpg,,,,
KOI-STRESS-153,Sanke,Sakai Fish Farm,Jantan,Sansai,60,Bagus,https://dummy.com/koi153.jpg,,,,
KOI-STRESS-154,Shiro Utsuri,Omosako Farm,Betina,Tosai,26,Sehat,https://dummy.com/koi154.jpg,,,,
KOI-STRESS-155,Tancho,Momotaro Koi,Jantan,Tosai,30,Sangat Baik,https://dummy.com/koi155.jpg,,,,
KOI-STRESS-156,Asagi,Dainichi Fish Farm,Betina,Nisai,45,Sehat,https://dummy.com/koi156.jpg,,,,
KOI-STRESS-157,Shusui,Sakai Fish Farm,Jantan,Tosai,34,Sehat,https://dummy.com/koi157.jpg,,,,
KOI-STRESS-158,Kohaku,Momotaro Koi,Betina,Sansai,56,Bagus,https://dummy.com/koi158.jpg,,,,
KOI-STRESS-159,Goshiki,Dainichi Fish Farm,Jantan,Tosai,27,Sehat,https://dummy.com/koi159.jpg,,,,
KOI-STRESS-160,Kujaku,Sakai Fish Farm,Betina,Nisai,41,Sangat Baik,https://dummy.com/koi160.jpg,,,,
KOI-STRESS-161,Yamabuki Ogon,Izumiya,Jantan,Nisai,42,Sehat,https://dummy.com/koi161.jpg,,,,
KOI-STRESS-162,Kohaku,Dainichi Fish Farm,Betina,Tosai,33,Sehat,https://dummy.com/koi162.jpg,,,,
KOI-STRESS-163,Showa,Sakai Fish Farm,Jantan,Sansai,62,Bagus,https://dummy.com/koi163.jpg,,,,
KOI-STRESS-164,Shiro Utsuri,Omosako Farm,Betina,Tosai,28,Sehat,https://dummy.com/koi164.jpg,,,,
KOI-STRESS-165,Sanke,Momotaro Koi,Jantan,Nisai,44,Sangat Baik,https://dummy.com/koi165.jpg,,,,
KOI-STRESS-166,Kohaku,Dainichi Fish Farm,Betina,Sansai,58,Sehat,https://dummy.com/koi166.jpg,,,,
KOI-STRESS-167,Tancho,Sakai Fish Farm,Jantan,Tosai,35,Sehat,https://dummy.com/koi167.jpg,,,,
KOI-STRESS-168,Asagi,Momotaro Koi,Betina,Nisai,46,Bagus,https://dummy.com/koi168.jpg,,,,
KOI-STRESS-169,Goshiki,Sakai Fish Farm,Jantan,Sansai,51,Sehat,https://dummy.com/koi169.jpg,,,,
KOI-STRESS-170,Kujaku,Dainichi Fish Farm,Betina,Tosai,29,Sangat Baik,https://dummy.com/koi170.jpg,,,,
KOI-STRESS-171,Kohaku,Sakai Fish Farm,Jantan,Tosai,31,Sehat,https://dummy.com/koi171.jpg,,,,
KOI-STRESS-172,Showa,Momotaro Koi,Betina,Nisai,47,Sehat,https://dummy.com/koi172.jpg,,,,
KOI-STRESS-173,Sanke,Dainichi Fish Farm,Jantan,Tosai,34,Bagus,https://dummy.com/koi173.jpg,,,,
KOI-STRESS-174,Shiro Utsuri,Omosako Farm,Betina,Sansai,58,Sehat,https://dummy.com/koi174.jpg,,,,
KOI-STRESS-175,Tancho Sanke,Sakai Fish Farm,Jantan,Tosai,30,Sangat Baik,https://dummy.com/koi175.jpg,,,,
KOI-STRESS-176,Asagi,Momotaro Koi,Betina,Nisai,44,Sehat,https://dummy.com/koi176.jpg,,,,
KOI-STRESS-177,Shusui,Dainichi Fish Farm,Jantan,Tosai,36,Sehat,https://dummy.com/koi177.jpg,,,,
KOI-STRESS-178,Kohaku,Sakai Fish Farm,Betina,Sansai,61,Bagus,https://dummy.com/koi178.jpg,,,,
KOI-STRESS-179,Goshiki,Momotaro Koi,Jantan,Tosai,27,Sehat,https://dummy.com/koi179.jpg,,,,
KOI-STRESS-180,Kujaku,Dainichi Fish Farm,Betina,Nisai,40,Sangat Baik,https://dummy.com/koi180.jpg,,,,
KOI-STRESS-181,Kohaku,Sakai Fish Farm,Jantan,Nisai,47,Sehat,https://dummy.com/koi181.jpg,,,,
KOI-STRESS-182,Showa,Dainichi Fish Farm,Betina,Tosai,34,Sehat,https://dummy.com/koi182.jpg,,,,
KOI-STRESS-183,Sanke,Momotaro Koi,Jantan,Sansai,60,Bagus,https://dummy.com/koi183.jpg,,,,
KOI-STRESS-184,Shiro Utsuri,Omosako Farm,Betina,Nisai,45,Sehat,https://dummy.com/koi184.jpg,,,,
KOI-STRESS-185,Tancho,Sakai Fish Farm,Jantan,Tosai,31,Sangat Baik,https://dummy.com/koi185.jpg,,,,
KOI-STRESS-186,Asagi,Dainichi Fish Farm,Betina,Nisai,48,Sehat,https://dummy.com/koi186.jpg,,,,
KOI-STRESS-187,Shusui,Momotaro Koi,Jantan,Tosai,35,Sehat,https://dummy.com/koi187.jpg,,,,
KOI-STRESS-188,Kohaku,Sakai Fish Farm,Betina,Sansai,64,Bagus,https://dummy.com/koi188.jpg,,,,
KOI-STRESS-189,Goshiki,Dainichi Fish Farm,Jantan,Tosai,29,Sehat,https://dummy.com/koi189.jpg,,,,
KOI-STRESS-190,Kujaku,Momotaro Koi,Betina,Nisai,43,Sangat Baik,https://dummy.com/koi190.jpg,,,,
KOI-STRESS-191,Kohaku,Dainichi Fish Farm,Jantan,Tosai,32,Sehat,https://dummy.com/koi191.jpg,,,,
KOI-STRESS-192,Showa,Sakai Fish Farm,Betina,Nisai,47,Sehat,https://dummy.com/koi192.jpg,,,,
KOI-STRESS-193,Sanke,Momotaro Koi,Jantan,Tosai,31,Bagus,https://dummy.com/koi193.jpg,,,,
KOI-STRESS-194,Shiro Utsuri,Omosako Farm,Betina,Sansai,61,Sehat,https://dummy.com/koi194.jpg,,,,
KOI-STRESS-195,Tancho,Dainichi Fish Farm,Jantan,Tosai,29,Sangat Baik,https://dummy.com/koi195.jpg,,,,
KOI-STRESS-196,Asagi,Sakai Fish Farm,Betina,Nisai,44,Sehat,https://dummy.com/koi196.jpg,,,,
KOI-STRESS-197,Shusui,Momotaro Koi,Jantan,Tosai,33,Sehat,https://dummy.com/koi197.jpg,,,,
KOI-STRESS-198,Kohaku,Dainichi Fish Farm,Betina,Sansai,57,Bagus,https://dummy.com/koi198.jpg,,,,
KOI-STRESS-199,Goshiki,Sakai Fish Farm,Jantan,Tosai,27,Sehat,https://dummy.com/koi199.jpg,,,,
KOI-STRESS-200,Kujaku,Momotaro Koi,Betina,Nisai,40,Sangat Baik,https://dummy.com/koi200.jpg,,,,
KOI-STRESS-201,Kohaku,Dainichi Fish Farm,Jantan,Tosai,32,Sehat,https://dummy.com/koi201.jpg,,,,
KOI-STRESS-202,Showa,Sakai Fish Farm,Betina,Nisai,45,Sehat,https://dummy.com/koi202.jpg,,,,
KOI-STRESS-203,Sanke,Momotaro Koi,Jantan,Tosai,28,Bagus,https://dummy.com/koi203.jpg,,,,
KOI-STRESS-204,Shiro Utsuri,Omosako Farm,Betina,Nisai,50,Sehat,https://dummy.com/koi204.jpg,,,,
KOI-STRESS-205,Tancho,Dainichi Fish Farm,Jantan,Tosai,30,Sangat Baik,https://dummy.com/koi205.jpg,,,,
KOI-STRESS-206,Asagi,Sakai Fish Farm,Betina,Sansai,55,Sehat,https://dummy.com/koi206.jpg,,,,
KOI-STRESS-207,Shusui,Momotaro Koi,Jantan,Tosai,33,Sehat,https://dummy.com/koi207.jpg,,,,
KOI-STRESS-208,Kohaku,Dainichi Fish Farm,Betina,Nisai,48,Bagus,https://dummy.com/koi208.jpg,,,,
KOI-STRESS-209,Goshiki,Sakai Fish Farm,Jantan,Tosai,29,Sehat,https://dummy.com/koi209.jpg,,,,
KOI-STRESS-210,Kujaku,Momotaro Koi,Betina,Nisai,42,Sangat Baik,https://dummy.com/koi210.jpg,,,,
KOI-STRESS-211,Yamabuki Ogon,Izumiya,Jantan,Nisai,44,Sehat,https://dummy.com/koi211.jpg,,,,
KOI-STRESS-212,Kohaku,Dainichi Fish Farm,Betina,Tosai,31,Sehat,https://dummy.com/koi212.jpg,,,,
KOI-STRESS-213,Showa,Sakai Fish Farm,Jantan,Sansai,62,Bagus,https://dummy.com/koi213.jpg,,,,
KOI-STRESS-214,Shiro Utsuri,Omosako Farm,Betina,Tosai,25,Sehat,https://dummy.com/koi214.jpg,,,,
